1 - Specifity, Sensitivity
0,0
0,0.11652542372881355
0,0.21398305084745764
0.00005597850425431705,0.3135593220338983
0.00005597850425431705,0.4427966101694915
0.0005597850425436146,0.5127118644067796
0.0016233766233766378,0.5720338983050848
0.002798925212718295,0.6292372881355932
0.004422301836094933,0.7055084745762712
0.007277205553067656,0.7648305084745762
0.012315270935960632,0.8135593220338984
0.018137035378414712,0.8601694915254238
0.03073219883564715,0.8898305084745762
0.047693685624720095,0.9322033898305084
0.07657859381997312,0.9576271186440678
0.10988580385132107,0.961864406779661
0.1594827586206896,0.972457627118644
0.22201074787281683,0.9766949152542372
0.2839789520824003,0.9809322033898306
0.34398790864308104,0.9809322033898306
0.40214957456336764,0.9809322033898306
0.45672861621137484,0.9809322033898306
0.5106359158083296,0.9830508474576272
0.5554187192118227,0.9851694915254238
0.6053515450067174,0.9851694915254238
0.6464397671294223,0.9872881355932204
0.6837774294670846,0.9872881355932204
0.7134460367218988,0.9872881355932204
0.7417711598746082,0.9872881355932204
0.7683609493954322,0.9872881355932204
0.7899126735333633,0.9872881355932204
0.8102328705776982,0.9872881355932204
0.8306090461262875,0.9872881355932204
0.8475145544111061,0.9872881355932204
0.8627407075682938,0.989406779661017
0.8771831616659203,0.989406779661017
0.8909538737124945,0.9936440677966102
0.9035490371697268,0.9936440677966102
0.9150246305418719,0.9957627118644068
0.9254926108374384,0.9957627118644068
0.9359605911330049,0.9978813559322034
0.9455329153605015,0.9978813559322034
0.9546014330497089,1
0.9610949395432155,1
0.9657971339005822,1
0.9706112852664577,1
0.9766009852216748,1
0.9802955665024631,1
0.9843260188087775,1
0.9871809225257501,1
0.9894200626959248,1
0.9919390953873712,1
0.9950179131213615,1
0.9965853112404837,1
0.9975369458128078,1
0.9982086878638603,1
0.9990483654276757,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
